Accession	Type	Target	Description	Lab	link
ENCSR000DZM	immortalized cell line	STAT1	STAT1 ChIP-seq on human GM12878	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DZM
ENCSR000DZN	immortalized cell line	CTCF	CTCF ChIP-seq on human GM12878	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DZN
ENCSR000DZO	immortalized cell line	NRF1	NRF1 ChIP-seq on human GM12878	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DZO
ENCSR000DZP	immortalized cell line	SMC3	SMC3 ChIP-seq on human GM12878 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DZP
ENCSR000DZQ	immortalized cell line	EBF1	EBF1 ChIP-seq on human GM12878 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DZQ
ENCSR000DZR	immortalized cell line	CHD2	CHD2 ChIP-seq on human GM12878 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DZR
ENCSR000DZS	immortalized cell line	BRCA1	BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DZS
ENCSR000DZT	immortalized cell line	EP300	EP300 ChIP-seq on human GM12878 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DZT
ENCSR000DZU	immortalized cell line	USF2	USF2 ChIP-seq on human GM12878 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DZU
ENCSR000DZV	immortalized cell line	STAT3	STAT3 ChIP-seq on human GM12878 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DZV
ENCSR000DZW	immortalized cell line	RFX5	RFX5 ChIP-seq on human GM12878 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DZW
ENCSR000DZX	immortalized cell line	IRF3	IRF3 ChIP-seq on human GM12878	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DZX
ENCSR000DZY	immortalized cell line	NFE2	NFE2 ChIP-seq on human GM12878	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DZY
ENCSR000DZZ	immortalized cell line	TBP	TBP ChIP-seq on human GM12878	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000DZZ
ENCSR000EAA	immortalized cell line	WRNIP1	WRNIP1 ChIP-seq on human GM12878 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EAA
ENCSR000EAC	immortalized cell line	RAD21	RAD21 ChIP-seq on human GM12878	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EAC
ENCSR000EAD	immortalized cell line	POLR2A	POLR2A ChIP-seq on human GM12878	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EAD
ENCSR000EAG	immortalized cell line	RELA	RELA ChIP-seq on human GM12878 treated with TNFa	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EAG
ENCSR000EAI	immortalized cell line	RELA	RELA ChIP-seq on human GM12891 treated with TNFa	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EAI
ENCSR000EAJ	immortalized cell line	POLR2A	POLR2A ChIP-seq on human GM12891	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EAJ
ENCSR000EAM	immortalized cell line	POLR2A	POLR2A ChIP-seq on human GM12892	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EAM
ENCSR000EAN	immortalized cell line	RELA	RELA ChIP-seq on human GM12892 treated with TNFa	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EAN
ENCSR000EAQ	immortalized cell line	RELA	RELA ChIP-seq on human GM15510 treated with TNFa	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EAQ
ENCSR000EAR	immortalized cell line	POLR2A	POLR2A ChIP-seq on human GM15510	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EAR
ENCSR000EAU	immortalized cell line	POLR2A	POLR2A ChIP-seq on human GM18505	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EAU
ENCSR000EAW	immortalized cell line	RELA	RELA ChIP-seq on human GM18505 treated with TNFa	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EAW
ENCSR000EAY	immortalized cell line	POLR2A	POLR2A ChIP-seq on human GM18526	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EAY
ENCSR000EBA	immortalized cell line	RELA	RELA ChIP-seq on human GM18526 treated with TNFa	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EBA
ENCSR000EBC	immortalized cell line	POLR2A	POLR2A ChIP-seq on human GM18951	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EBC
ENCSR000EBD	immortalized cell line	RELA	RELA ChIP-seq on human GM18951 treated with TNFa	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EBD
ENCSR000EBG	immortalized cell line	POLR2A	POLR2A ChIP-seq on human GM19099	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EBG
ENCSR000EBI	immortalized cell line	RELA	RELA ChIP-seq on human GM19099 treated with TNFa	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EBI
ENCSR000EBK	immortalized cell line	POLR2A	POLR2A ChIP-seq on human GM19193	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EBK
ENCSR000EBM	immortalized cell line	RELA	RELA ChIP-seq on human GM19193 treated with TNFa	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EBM
ENCSR000EBO	stem cell	SIN3A	SIN3A ChIP-seq on human H1-hESC produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EBO
ENCSR000EBP	stem cell	GTF2F1	GTF2F1 ChIP-seq on human H1-hESC produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EBP
ENCSR000EBQ	stem cell	BACH1	BACH1 ChIP-seq on human H1-hESC produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EBQ
ENCSR000EBR	stem cell	MXI1	MXI1 ChIP-seq on human H1-hESC produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EBR
ENCSR000EBS	stem cell	MAFK	MAFK ChIP-seq on human H1-hESC produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EBS
ENCSR000EBT	stem cell	CHD2	CHD2 ChIP-seq on human H1-hESC produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EBT
ENCSR000EBU	stem cell	CHD1	CHD1 ChIP-seq on human H1-hESC produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EBU
ENCSR000EBV	stem cell	CEBPB	CEBPB ChIP-seq on human H1-hESC produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EBV
ENCSR000EBW	stem cell	ZNF143	ZNF143 ChIP-seq on human H1-hESC produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EBW
ENCSR000EBX	stem cell	BRCA1	BRCA1 ChIP-seq on human H1-hESC produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EBX
ENCSR000EBY	stem cell	MYC	MYC ChIP-seq on human H1-hESC produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EBY
ENCSR000EBZ	stem cell	JUND	JUND ChIP-seq on human H1-hESC	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EBZ
ENCSR000ECA	stem cell	JUN	JUN ChIP-seq on human H1-hESC	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000ECA
ENCSR000ECB	stem cell	TBP	TBP ChIP-seq on human H1-hESC	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000ECB
ENCSR000ECC	stem cell	NRF1	NRF1 ChIP-seq on human H1-hESC	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000ECC
ENCSR000ECD	stem cell	USF2	USF2 ChIP-seq on human H1-hESC	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000ECD
ENCSR000ECE	stem cell	RAD21	RAD21 ChIP-seq on human H1-hESC	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000ECE
ENCSR000ECF	stem cell	RFX5	RFX5 ChIP-seq on human H1-hESC	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000ECF
ENCSR000ECH	immortalized cell line	HCFC1	HCFC1 ChIP-seq on human HeLa-S3 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000ECH
ENCSR000ECI	immortalized cell line	ELK1	ELK1 ChIP-seq on human HeLa-S3 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000ECI
ENCSR000ECJ	immortalized cell line	ZKSCAN1	ZKSCAN1 ChIP-seq on human HeLa-S3 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000ECJ
ENCSR000ECK	immortalized cell line	MAFK	MAFK ChIP-seq on human HeLa-S3 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000ECK
ENCSR000ECL	immortalized cell line	MAZ	MAZ ChIP-seq on human HeLa-S3 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000ECL
ENCSR000ECM	immortalized cell line	RCOR1	RCOR1 ChIP-seq on human HeLa-S3 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000ECM
ENCSR000ECN	immortalized cell line	MAX	MAX ChIP-seq on human HeLa-S3 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000ECN
ENCSR000ECO	immortalized cell line	ZNF143	ZNF143 ChIP-seq on human HeLa-S3	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000ECO
ENCSR000ECP	immortalized cell line	CHD2	CHD2 ChIP-seq on human HeLa-S3	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000ECP
ENCSR000ECQ	immortalized cell line	SUPT20H	SUPT20H ChIP-seq on human HeLa-S3	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000ECQ
ENCSR000ECR	immortalized cell line	KAT2A	KAT2A ChIP-seq on human HeLa-S3	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000ECR
ENCSR000ECS	immortalized cell line	SMC3	SMC3 ChIP-seq on human HeLa-S3	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000ECS
ENCSR000ECT	immortalized cell line	POLR2A	POLR2AphosphoS2 ChIP-seq on human HeLa-S3	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000ECT
ENCSR000ECU	immortalized cell line	MXI1	MXI1 ChIP-seq on human HeLa-S3	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000ECU
ENCSR000ECV	immortalized cell line	EP300	EP300 ChIP-seq on human HeLa-S3	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000ECV
ENCSR000ECW	immortalized cell line	USF2	USF2 ChIP-seq on human HeLa-S3	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000ECW
ENCSR000ECX	immortalized cell line	RFX5	RFX5 ChIP-seq on human HeLa-S3	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000ECX
ENCSR000ECY	immortalized cell line	PRDM1	PRDM1 ChIP-seq on human HeLa-S3	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000ECY
ENCSR000ECZ	immortalized cell line	GTF2F1	GTF2F1 ChIP-seq on human HeLa-S3	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000ECZ
ENCSR000EDA	immortalized cell line	CEBPB	CEBPB ChIP-seq on human HeLa-S3	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EDA
ENCSR000EDB	immortalized cell line	BRCA1	BRCA1 ChIP-seq on human HeLa-S3	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EDB
ENCSR000EDC	immortalized cell line	STAT3	STAT3 ChIP-seq on human HeLa-S3	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EDC
ENCSR000EDD	immortalized cell line	TBP	TBP ChIP-seq on human HeLa-S3	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EDD
ENCSR000EDE	immortalized cell line	RAD21	RAD21 ChIP-seq on human HeLa-S3	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EDE
ENCSR000EDF	immortalized cell line	IRF3	IRF3 ChIP-seq on human HeLa-S3	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EDF
ENCSR000EDG	immortalized cell line	JUN	JUN ChIP-seq on human HeLa-S3	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EDG
ENCSR000EDH	immortalized cell line	JUND	JUND ChIP-seq on human HeLa-S3	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EDH
ENCSR000EDJ	immortalized cell line	NRF1	NRF1 ChIP-seq on human HeLa-S3	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EDJ
ENCSR000EDK	immortalized cell line	SMARCB1	SMARCB1 ChIP-seq on human HeLa-S3	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EDK
ENCSR000EDL	immortalized cell line	SMARCC2	SMARCC2 ChIP-seq on human HeLa-S3	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EDL
ENCSR000EDM	immortalized cell line	SMARCC1	SMARCC1 ChIP-seq on human HeLa-S3	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EDM
ENCSR000EDN	immortalized cell line	MAZ	MAZ ChIP-seq on human HepG2 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EDN
ENCSR000EDO	immortalized cell line	CEBPZ	CEBPZ ChIP-seq on human HepG2 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EDO
ENCSR000EDP	immortalized cell line	ARID3A	ARID3A ChIP-seq on human HepG2 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EDP
ENCSR000EDQ	immortalized cell line	RCOR1	RCOR1 ChIP-seq on human HepG2 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EDQ
ENCSR000EDS	immortalized cell line	MAX	MAX ChIP-seq on human HepG2 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EDS
ENCSR000EDT	immortalized cell line	BHLHE40	BHLHE40 ChIP-seq on human HepG2	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EDT
ENCSR000EDU	immortalized cell line	MXI1	MXI1 ChIP-seq on human HepG2	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EDU
ENCSR000EDV	immortalized cell line	EP300	EP300 ChIP-seq on human HepG2	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EDV
ENCSR000EDW	immortalized cell line	SMC3	SMC3 ChIP-seq on human HepG2	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EDW
ENCSR000EDX	immortalized cell line	POLR2A	POLR2AphosphoS2 ChIP-seq on human HepG2	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EDX
ENCSR000EDY	immortalized cell line	BRCA1	BRCA1 ChIP-seq on human HepG2	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EDY
ENCSR000EDZ	immortalized cell line	MAFK	MAFK ChIP-seq on human HepG2	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EDZ
ENCSR000EEA	immortalized cell line	RFX5	RFX5 ChIP-seq on human HepG2	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EEA
ENCSR000EEB	immortalized cell line	MAFK	MAFK ChIP-seq on human HepG2	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EEB
ENCSR000EEC	immortalized cell line	MAFF	MAFF ChIP-seq on human HepG2	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EEC
ENCSR000EED	immortalized cell line	CHD2	CHD2 ChIP-seq on human HepG2	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EED
ENCSR000EEE	immortalized cell line	CEBPB	CEBPB ChIP-seq on human HepG2	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EEE
ENCSR000EEF	immortalized cell line	USF2	USF2 ChIP-seq on human HepG2	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EEF
ENCSR000EEG	immortalized cell line	RAD21	RAD21 ChIP-seq on human HepG2	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EEG
ENCSR000EEH	immortalized cell line	NRF1	NRF1 ChIP-seq on human HepG2	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EEH
ENCSR000EEI	immortalized cell line	JUND	JUND ChIP-seq on human HepG2	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EEI
ENCSR000EEJ	immortalized cell line	IRF3	IRF3 ChIP-seq on human HepG2	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EEJ
ENCSR000EEK	immortalized cell line	JUN	JUN ChIP-seq on human HepG2	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EEK
ENCSR000EEL	immortalized cell line	TBP	TBP ChIP-seq on human HepG2	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EEL
ENCSR000EEM	immortalized cell line	POLR2A	POLR2A ChIP-seq on human HepG2	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EEM
ENCSR000EEO	immortalized cell line	SREBF1	SREBF1 ChIP-seq on human HepG2 treated with insulin	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EEO
ENCSR000EEP	immortalized cell line	POLR2A	POLR2A ChIP-seq on human HepG2 treated with forskolin	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EEP
ENCSR000EEQ	immortalized cell line	PPARGC1A	PPARGC1A ChIP-seq on human HepG2 treated with forskolin	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EEQ
ENCSR000EET	immortalized cell line	HSF1	HSF1 ChIP-seq on human HepG2 treated with forskolin	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EET
ENCSR000EEU	immortalized cell line	HNF4A	HNF4A ChIP-seq on human HepG2 treated with forskolin	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EEU
ENCSR000EEV	immortalized cell line	NR3C1	NR3C1 ChIP-seq on human HepG2 treated with forskolin	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EEV
ENCSR000EEW	immortalized cell line	ESRRA	ESRRA ChIP-seq on human HepG2 treated with forskolin	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EEW
ENCSR000EEX	immortalized cell line	CEBPB	CEBPB ChIP-seq on human HepG2 treated with forskolin	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EEX
ENCSR000EEZ	primary cell	MAX	MAX ChIP-seq on human HUVEC produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EEZ
ENCSR000EFA	primary cell	JUN	JUN ChIP-seq on human HUVEC	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EFA
ENCSR000EFB	primary cell	POLR2A	POLR2A ChIP-seq on human HUVEC	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EFB
ENCSR000EFC	immortalized cell line	CHD1	CHD1 ChIP-seq on human IMR90 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EFC
ENCSR000EFD	immortalized cell line	RFX5	RFX5 ChIP-seq on human IMR90 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EFD
ENCSR000EFE	immortalized cell line	MXI1	MXI1 ChIP-seq on human IMR90 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EFE
ENCSR000EFF	immortalized cell line	MAZ	MAZ ChIP-seq on human IMR90 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EFF
ENCSR000EFG	immortalized cell line	RCOR1	RCOR1 ChIP-seq on human IMR90 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EFG
ENCSR000EFH	immortalized cell line	MAFK	MAFK ChIP-seq on human IMR90 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EFH
ENCSR000EFI	immortalized cell line	CTCF	CTCF ChIP-seq on human IMR90 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EFI
ENCSR000EFJ	immortalized cell line	RAD21	RAD21 ChIP-seq on human IMR90 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EFJ
ENCSR000EFK	immortalized cell line	POLR2A	POLR2A ChIP-seq on human IMR90 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EFK
ENCSR000EFM	immortalized cell line	CEBPB	CEBPB ChIP-seq on human IMR90 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EFM
ENCSR000EFN	immortalized cell line	HCFC1	HCFC1 ChIP-seq on human K562 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EFN
ENCSR000EFO	immortalized cell line	CUX1	CUX1 ChIP-seq on human K562 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EFO
ENCSR000EFP	immortalized cell line	ZNF384	ZNF384 ChIP-seq on human K562 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EFP
ENCSR000EFQ	immortalized cell line	ZMIZ1	ZMIZ1 ChIP-seq on human K562 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EFQ
ENCSR000EFR	immortalized cell line	ZC3H11A	ZC3H11A ChIP-seq on human K562 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EFR
ENCSR000EFS	immortalized cell line	JUN	JUN ChIP-seq on human K562 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EFS
ENCSR000EFT	immortalized cell line	GATA1	GATA1 ChIP-seq on human K562 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EFT
ENCSR000EFU	immortalized cell line	ELK1	ELK1 ChIP-seq on human K562 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EFU
ENCSR000EFV	immortalized cell line	MAX	MAX ChIP-seq on human K562 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EFV
ENCSR000EFW	immortalized cell line	UBTF	UBTF ChIP-seq on human K562 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EFW
ENCSR000EFX	immortalized cell line	MAZ	MAZ ChIP-seq on human K562 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EFX
ENCSR000EFY	immortalized cell line	ARID3A	ARID3A ChIP-seq on human K562 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EFY
ENCSR000EFZ	immortalized cell line	UBTF	UBTF ChIP-seq on human K562 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EFZ
ENCSR000EGA	immortalized cell line	TBL1XR1	TBL1XR1 ChIP-seq on human K562 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EGA
ENCSR000EGB	immortalized cell line	TBL1XR1	TBL1XR1 ChIP-seq on human K562 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EGB
ENCSR000EGC	immortalized cell line	RCOR1	RCOR1 ChIP-seq on human K562 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EGC
ENCSR000EGD	immortalized cell line	BACH1	BACH1 ChIP-seq on human K562 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EGD
ENCSR000EGE	immortalized cell line	EP300	EP300 ChIP-seq on human K562 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EGE
ENCSR000EGF	immortalized cell line	POLR2A	POLR2AphosphoS2 ChIP-seq on human K562 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EGF
ENCSR000EGG	immortalized cell line	RCOR1	RCOR1 ChIP-seq on human K562 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EGG
ENCSR000EGH	immortalized cell line	JUN	JUN ChIP-seq on human K562 treated with IFNa30 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EGH
ENCSR000EGI	immortalized cell line	MAFF	MAFF ChIP-seq on human K562 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EGI
ENCSR000EGJ	immortalized cell line	MYC	MYC ChIP-seq on human K562 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EGJ
ENCSR000EGK	immortalized cell line	IRF1	IRF1 ChIP-seq on human K562 treated with IFNg30 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EGK
ENCSR000EGL	immortalized cell line	IRF1	IRF1 ChIP-seq on human K562 treated with IFNa6h produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EGL
ENCSR000EGM	immortalized cell line	CTCF	CTCF ChIP-seq on human K562 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EGM
ENCSR000EGN	immortalized cell line	JUND	JUND ChIP-seq on human K562 produced by the Snyder lab	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EGN
ENCSR000EGO	immortalized cell line	RFX5	RFX5 ChIP-seq on human K562	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EGO
ENCSR000EGP	immortalized cell line	ZNF143	ZNF143 ChIP-seq on human K562	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EGP
ENCSR000EGQ	immortalized cell line	NFYB	NFYB ChIP-seq on human K562	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EGQ
ENCSR000EGR	immortalized cell line	NFYA	NFYA ChIP-seq on human K562	Michael Snyder, Stanford	https://www.encodeproject.org/experiments/ENCSR000EGR
